year,ahe,bachelor,female,age
2015,11.77884579,0,0,26
2015,9.615385056,0,1,33
2015,12.01923084,0,0,31
2015,18.37606812,0,0,32
2015,41.83673477,0,0,28
2015,19.23077011,0,1,31
2015,13.46153831,0,0,34
2015,25.64102554,1,1,33
2015,35.47008514,0,0,34
2015,16.02564049,1,1,33
2015,33.65817261,1,0,32
2015,23.07692337,1,1,30
2015,19.23077011,0,0,31
2015,14.42307663,0,0,31
2015,12.98076916,1,1,30
2015,11.53846169,1,0,30
2015,8.012820244,0,0,33
2015,13.125,0,0,28
2015,23.07692337,0,0,33
2015,20.87912178,0,0,26
2015,3.846153736,1,1,28
2015,22.59615326,1,1,34
2015,6.538461685,1,0,29
2015,18.58974266,1,1,28
2015,14.39903831,0,1,29
2015,19.71153831,1,0,33
2015,22.34927177,1,1,31
2015,26.44230843,0,1,30
2015,7,1,1,33
2015,57.69230652,0,0,33
2015,36.05769348,0,0,33
2015,24.4755249,1,0,30
2015,19.23077011,0,0,29
2015,8.653845787,0,1,30
2015,20.97902107,1,1,26
2015,13.78205109,1,0,26
2015,14.16490364,1,1,33
2015,14.10256386,0,0,28
2015,31.46853065,0,1,34
2015,20.05494499,1,0,27
2015,17.78846169,1,1,32
2015,11.53846169,1,1,29
2015,8,0,1,25
2015,19.23077011,1,1,31
2015,12.5,0,0,34
2015,13.46153831,0,0,26
2015,24.03846169,0,1,33
2015,18.53125,1,1,33
2015,12.98076916,0,1,28
2015,23.07692337,1,1,34
2015,6.730769157,0,0,27
2015,5.263157845,1,1,25
2015,19.23077011,1,0,32
2015,28.84615326,0,0,34
2015,9.615385056,1,1,32
2015,14.9572649,1,0,31
2015,19.23077011,1,1,29
2015,32.69230652,0,0,34
2015,38.46154022,1,1,30
2015,29.28321648,1,0,31
2015,16.48351669,1,1,29
2015,21.92307663,1,1,30
2015,60,1,0,34
2015,17.48251724,1,1,32
2015,15.38461494,0,0,32
2015,37.39316177,1,1,25
2015,18.26922989,0,0,25
2015,19.23077011,0,0,28
2015,11,0,0,30
2015,12.01923084,0,0,30
2015,15.38461494,0,0,28
2015,14.18269253,1,1,26
2015,14.42307663,1,1,26
2015,11.53846169,0,0,30
2015,26.44230843,1,1,25
2015,24.03846169,1,0,26
